player,dealer,optimal_learner,optimal_basic
15,7,stay,hit
15,8,hit,hit
15,9,hit,hit
15,10,hit,hit
15,11,stay,hit
16,2,stay,stay
16,3,stay,stay
16,4,stay,stay
16,5,stay,stay
16,6,stay,stay
16,7,stay,hit
16,8,hit,hit
16,9,hit,hit
16,10,hit,hit
16,11,stay,hit
17,2,stay,stay
17,3,stay,stay
17,4,stay,stay
17,5,stay,stay
17,6,stay,stay
17,7,stay,stay
17,8,stay,stay
17,9,hit,stay
17,10,hit,stay
17,11,hit,stay
18,2,stay,stay
18,3,stay,stay
18,4,stay,stay
18,5,stay,stay
18,6,stay,stay
18,7,stay,stay
18,8,stay,stay
18,9,stay,stay
18,10,stay,stay
18,11,stay,stay
19,2,stay,stay
19,3,stay,stay
19,4,stay,stay
19,5,stay,stay
19,6,stay,stay
19,7,stay,stay
19,8,stay,stay
19,9,stay,stay
19,10,stay,stay
19,11,stay,stay
20,2,stay,stay
20,3,stay,stay
20,4,stay,stay
20,5,stay,stay
20,6,stay,stay
20,7,stay,stay
20,8,stay,stay
20,9,stay,stay
20,10,stay,stay
20,11,stay,stay
21,2,stay,stay
21,3,stay,stay
21,4,stay,stay
21,5,stay,stay
21,6,stay,stay
21,7,stay,stay
21,8,stay,stay
21,9,stay,stay
21,10,stay,stay
21,11,stay,stay
