player,dealer,hit,stay,split,double,optimal
"A,2",2,-0.0001287032026306105,-0.003996,0.0,0.0,double
"5,5",2,-0.0009851887012836055,-0.004619385998887934,-0.001054464432727001,0.0,double
"A,5",2,-0.00023172247121097883,-0.0019930040000000005,0.0,0.0,double
"A,4",2,-0.0006258774236172042,-0.003991004,0.0,-0.0009455126435024218,hit
"A,7",2,-0.004488667893060767,0.006798005544056016,0.0,3.873848879729805e-06,stay
"10,10",2,-0.0017685437365213912,0.4445572730448712,0.05370081876287236,-0.00333106800748033,stay
"A,6",2,-0.000747212067151601,-0.008994001,0.0,0.0,double
"A,9",2,0.0,0.12902607390483667,0.0,0.0,stay
"8,8",2,-0.0029590447194412957,-7.165410407223183e-05,-0.0010568546446600823,-0.003985942701302515,stay
"A,3",2,0.0069022948278172425,-0.002002988012994001,0.0,0.006891524897890888,hit
"6,6",2,-0.004979899159659709,-0.004041911407531563,0.009474839138359786,-0.004010865347088388,split
"A,8",2,3.3070991437755874e-05,0.06142544452476739,0.0,7.524879692412912e-06,stay
"3,3",2,-0.0019033580520298721,0.0,0.01057685806325722,0.0,split
"2,2",2,-0.0009271321011189241,-0.004999,-0.002473724292112215,0.0,double
"7,7",2,-0.0029990516363408524,-0.0034758860517818515,0.009146612611334592,-0.004993205185631965,split
"9,9",2,-0.00199772,0.007570381491067695,0.03293686299963632,0.0,split
"4,4",2,0.0010019560634319845,-0.003999001,0.0006918523440002262,2.5792217270945074e-05,hit
"A,A",2,0.0,0.0,0.16027591885338177,0.0,split
"10,10",3,-0.0031602662593263123,0.434195024163885,0.050501654342359384,-0.003998,stay
"4,4",3,-0.0009164562076516659,-0.004533711749002346,-0.0010166466060302273,0.0,double
"A,7",3,-0.0009992,0.03284723182775706,0.0,0.0,stay
"7,7",3,-0.013320742079809492,-0.012972050944024012,0.009792734285333659,-0.012719203958140825,split
"A,4",3,-0.0009727861873750132,-0.004155068869710088,0.0,0.0,double
"A,9",3,0.0,0.11183249927484064,0.0,0.0,stay
"3,3",3,-0.00049970117958004,-0.001,0.009373044003554582,0.0,split
"A,A",3,0.0,0.0,0.1502455392868878,0.0,split
"A,2",3,0.00011492452485296737,-0.00489745409868261,0.0,8.322930206619402e-09,hit
"9,9",3,-0.0010016,0.009859826848638214,0.006275334042768987,0.0,stay
"A,6",3,0.0007224549314793637,-0.008671028089052624,0.0,0.0,hit
"6,6",3,2.5527677230156517e-05,-0.0029980000000000002,0.008885864528494773,-0.004001644158251312,split
"A,3",3,0.0019443465217334021,-0.004161515084909923,0.0,0.0009958083893695697,hit
"A,5",3,-0.001,0.03020579104894387,0.0,0.0,stay
"5,5",3,0.001984899624281961,-0.004064164223708226,-0.0016980185091931626,0.0,hit
"A,8",3,2.57560198391062e-05,0.06656237733764621,0.0,0.0,stay
"2,2",3,-0.0013670702324686892,-0.004,0.009459551832020855,0.0,split
"8,8",3,-0.005984154579536458,-0.003985035950045974,0.03386171468059059,-0.0039943488261197525,split
"3,3",4,0.0005537154217482509,-0.004015921202660379,-0.000265788041632109,0.0,hit
"A,6",4,0.0004085570479143536,9.992998003998353e-06,0.0,0.0009906431105648939,double
"10,10",4,-0.003385835692768139,0.45355712985180185,0.0464410171154778,-0.005671136445841446,stay
"A,7",4,3.3224493525698565e-05,0.044921580510539405,0.0,1.7485262823902537e-05,stay
"8,8",4,-0.005472714837633351,-0.003994005990015986,0.02603407675226081,-0.003997998168090817,split
"A,A",4,-0.001,-0.001,0.1373532701642474,0.0,split
"A,4",4,0.00528973086311794,-0.004990006999,0.0,0.0049750599081011156,hit
"A,5",4,-0.001,0.00032452214255893,0.0,0.0,stay
"A,9",4,-1.199799999999961e-06,0.12221209836084407,0.0,0.0,stay
"A,8",4,1.3765821239871086e-05,0.0447576666569964,0.0,0.0,stay
"6,6",4,-0.0009898911132814748,0.0,0.009613107758312981,0.0,split
"A,3",4,-0.0009999944205911486,0.005304539334865895,0.0,0.0,stay
"A,2",4,0.0002539556461846963,-0.001994971137723336,0.0,0.0,hit
"9,9",4,-0.004978964291963515,-0.0004347583470941858,0.08919189116740904,-0.00399640095992,split
"5,5",4,-0.0009823736150561002,0.008440935655817772,-0.000520849825363896,1.1754749887344367e-05,stay
"2,2",4,-0.0019871319344168512,0.006130389528243926,-0.0029040962590437596,0.0,stay
"7,7",4,-0.001989718382621947,0.011307910378661381,2.6662378467888742e-05,-0.002,stay
"4,4",4,-0.001,-0.004996998001,0.008478872719750574,1.2679414249641932e-05,split
"10,10",5,-0.0021280411056651795,0.446312652625481,0.05665588918933481,-0.005681099667151626,stay
"A,6",5,-0.0005871686437879226,-0.0009910040000000002,0.0,0.0,double
"A,5",5,0.0004677485849158981,-0.002728964697347194,0.0,0.0,hit
"A,9",5,-0.0018542080831396989,0.08944019817238555,0.0,0.0,stay
"2,2",5,-0.0009992,-0.001,0.015817332376445493,0.014690505108441635,split
"A,8",5,0.0004232889250381757,-0.004000999,0.0,0.0,hit
"A,4",5,0.0,0.004594290177358913,0.0,8.120431456223085e-06,stay
"A,2",5,0.0006864917920933757,-0.008508167956234401,0.0,0.0,hit
"A,A",5,-3.678467039305768e-05,-0.001999,0.12900010208707705,0.0,split
"7,7",5,-0.004003981791001618,0.011371846729498793,-0.002984612853933033,-0.0034988866616072474,stay
"A,3",5,-0.0009338986336486312,0.006144308251937043,0.0,0.0,stay
"4,4",5,-0.001261884527755306,-0.004032591334527936,0.016357085884787063,0.0,split
"5,5",5,-0.0009677212327419643,-0.004993006998999999,-0.0015076871406473143,6.515649756222968e-07,double
"6,6",5,-0.0019947262935700533,0.012355184694051644,0.0023069090199463503,0.0,stay
"9,9",5,-0.0019966059964008,0.007715640766184613,0.13691976614846352,-0.002,split
"3,3",5,-0.0004807097942193489,0.012734390978683677,-0.00045312873631044156,0.0,stay
"8,8",5,-0.004988020244184701,-0.004428926185993417,0.04147461459552986,-0.003998,split
"A,7",5,0.00023973028027274778,-0.004005945143765267,0.0,0.0,hit
"A,9",6,-0.0004657728378800951,0.07861282888185561,0.0,7.975172448184745e-05,stay
"10,10",6,-0.001,0.44222914140453257,0.045108057230081725,-0.003944861456310687,stay
"5,5",6,-0.0019744528953294063,-0.004999,0.0262318514262927,0.0020305457863341913,split
"A,6",6,1.56485136521053e-05,0.03488094864217817,0.0,0.0,stay
"A,7",6,-0.00041941021440669015,0.04059341268722592,0.0,1.5155790433782773e-05,stay
"A,5",6,0.007024777973279896,-0.0029969980010000003,0.0,0.007889362071363076,double
"2,2",6,-0.001,-4.8661309530786284e-05,0.031935719337280705,0.0030462142770714684,split
"A,3",6,0.00011979133629440991,-0.004037473377380774,0.0,0.0,hit
"A,2",6,-0.0028968473379952057,0.0076447630786158505,0.0,-0.0009930209650349789,stay
"3,3",6,-0.0016936093322185617,-0.006991003999,0.017156902977584265,0.0,split
"A,8",6,-0.0019940322898085805,0.05596563866450404,0.0,0.0,stay
"8,8",6,-0.00299433553281611,-0.003993009980039944,0.05829725217785517,-0.003991935422582287,split
"A,4",6,8.382066898542681e-05,-0.0036605103998445434,0.0,0.0,hit
"4,4",6,-5.018139304686125e-07,-0.004,0.020736813600301832,0.0010395236239190695,split
"6,6",6,-0.0010041784658074593,0.003910793627787091,-0.0007839062699652205,-0.002985947177541913,stay
"A,A",6,-0.0019543354358270526,0.0021266942928358833,0.11114369565759309,0.0,split
"7,7",6,-0.004005757182883542,-0.001684660921072174,0.029871670825830178,-0.0039995984,split
"9,9",6,-0.0010008,0.019887061777000718,0.009939770593959193,0.0,stay
"6,6",7,-0.001,0.00693721094196007,0.001897482007900436,0.0,stay
"10,10",7,-0.002997001,0.5096086862732372,0.04465610821492395,-0.01274607921020494,stay
"8,8",7,-0.0010074507069833636,0.0034539905904342662,0.058850159888941905,-0.0009918774664756415,split
"A,2",7,0.00011001654370957053,-0.004541793956483768,0.0,0.0,hit
"A,9",7,-9.999999999999159e-07,0.12712348193063272,0.0,4.5889609681268396e-05,stay
"A,3",7,-4.356417917445181e-05,-0.004016930129862085,0.0,0.0,double
"5,5",7,-0.0019885866094455328,0.002999,0.015443509728238023,0.0,split
"A,6",7,-0.0024699255570313433,0.021085427223686427,0.0,-0.0009910359161258739,stay
"4,4",7,-0.001,0.02413157337378738,4.535003053793707e-05,1.2617468671022628e-05,stay
"A,8",7,3.94430238299232e-06,0.08095554083077279,0.0,0.0,stay
"3,3",7,0.0035762861641833663,0.0,0.023000575591684003,2.3995782483677587e-05,split
"A,4",7,9.52852503525186e-06,0.016021851321581713,0.0,0.0,stay
"A,5",7,0.011874025275190787,-0.004,0.0,0.01274223446883041,double
"A,7",7,-5.237501028807466e-05,-0.004,0.0,0.0,double
"A,A",7,-0.001,-0.0024960000000000004,0.11941219817857729,0.0,split
"2,2",7,-0.00010522454845958212,-0.004992001002999001,0.016643835904118175,0.0,split
